Time(s),Input(v),Output(v),Output(m)
0,2.505,0,0
0.1,2.583,0.001,0.001
0.2,4.297,0.003,0.003
0.3,5,0.041,0.053
0.4,5,0.13,0.169
0.5,5,0.269,0.35
0.6,5,0.458,0.594
0.7,5,0.695,0.902
0.8,5,0.98,1.272
0.9,5,1.312,1.705
1,5,1.692,2.198
1.1,5,2.118,2.751
1.2,5,2.59,3.364
1.3,5,3.108,4.036
1.4,5,3.67,4.766
1.5,5,4.276,5.553
1.6,5,4.926,6.398
1.7,5,5.62,7.298
1.8,5,6.355,8.254
1.9,5,7.134,9.264
2,5,7.953,10.329
2.1,5,8.814,11.447
2.2,5,9.716,12.618
2.3,5,10,13.841
2.4,5,10,15.116
2.5,5,10,16.441
2.6,5,10,17.817
2.7,5,10,19.243
2.8,5,10,20.718
2.9,5,10,22.241
3,5,10,23.813
3.1,5,10,25.432
3.2,5,10,27.097
3.3,5,10,28.809
3.4,5,10,30.567
3.5,5,10,32.369
3.6,5,10,34.217
3.7,5,10,36.108
3.8,5,10,38.043
3.9,5,10,40.022
4,5,10,42.042
4.1,5,10,44.105
4.2,5,10,46.209
4.3,5,10,48.354
4.4,5,10,50.54
4.5,5,10,52.766
4.6,5,10,55.031
4.7,5,10,57.336
4.8,5,10,59.679
4.9,5,10,62.06
5,5,10,64.479
5.1,5,10,66.935
5.2,5,10,69.429
5.3,5,10,71.958
5.4,5,10,74.523
5.5,5,10,77.124
5.6,5,10,79.76
5.7,5,10,82.431
5.8,5,10,85.136
5.9,5,10,87.875
6,5,10,90.647
6.1,5,10,93.452
6.2,5,10,96.29
6.3,5,10,99.16
6.4,5,10,102.062
6.5,5,10,104.996
6.6,5,10,107.96
6.7,5,10,110.955
6.8,5,10,113.981
6.9,5,10,117.037
7,5,10,120.122
7.1,5,10,123.237
7.2,5,10,126.38
7.3,5,10,129.553
7.4,5,10,132.753
7.5,5,10,135.981
7.6,5,10,139.237
7.7,5,10,142.52
7.8,5,10,145.831
7.9,5,10,149.167
8,5,10,152.53
8.1,5,10,155.919
8.2,5,10,159.334
8.3,5,10,162.774
8.4,5,10,166.239
8.5,5,10,169.729
8.6,5,10,173.243
8.7,5,10,176.781
