Time(s),Input(v),Output(v),Output(m)
0,2.495,0,0
0.1,2.847,0.001,0.002
0.1,5,0.007,0.009
0.2,5,0.065,0.084
0.3,5,0.173,0.225
0.4,5,0.331,0.43
0.5,5,0.538,0.699
0.6,5,0.794,1.031
0.7,5,1.097,1.425
0.8,5,1.448,1.88
0.9,5,1.845,2.396
1,5,2.289,2.973
1.1,5,2.778,3.608
1.2,5,3.313,4.302
1.3,5,3.892,5.054
1.4,5,4.515,5.864
1.5,5,5.182,6.729
1.6,5,5.891,7.651
1.7,5,6.643,8.628
1.8,5,7.437,9.659
1.9,5,8.273,10.744
2,5,9.15,11.883
2.1,5,10,13.073
2.2,5,10,14.316
2.3,5,10,15.611
2.4,5,10,16.955
2.5,5,10,18.351
2.6,5,10,19.795
2.7,5,10,21.289
2.8,5,10,22.83
2.9,5,10,24.42
3,5,10,26.057
3.1,5,10,27.74
3.2,5,10,29.469
3.3,5,10,31.244
3.4,5,10,33.064
3.5,5,10,34.928
3.6,5,10,36.837
3.7,5,10,38.788
3.8,5,10,40.783
3.9,5,10,42.819
4,5,10,44.898
4.1,5,10,47.018
4.2,5,10,49.179
4.3,5,10,51.38
4.4,5,10,53.621
4.5,5,10,55.901
4.6,5,10,58.22
4.7,5,10,60.578
4.8,5,10,62.974
4.9,5,10,65.407
5,5,10,67.878
5.1,5,10,70.385
5.2,5,10,72.928
5.3,5,10,75.507
5.4,5,10,78.121
5.5,5,10,80.771
5.6,5,10,83.454
5.7,5,10,86.172
5.8,5,10,88.924
5.9,5,10,91.709
6,5,10,94.526
6.1,5,10,97.377
6.2,5,10,100.259
6.3,5,10,103.173
6.4,5,10,106.118
6.5,5,10,109.095
6.6,5,10,112.102
6.7,5,10,115.139
6.8,5,10,118.206
6.9,5,10,121.303
7,5,10,124.428
7.1,5,10,127.583
7.2,5,10,130.766
7.3,5,10,133.977
7.4,5,10,137.216
7.5,5,10,140.482
7.6,5,10,143.776
7.7,5,10,147.096
7.8,5,10,150.443
7.9,5,10,153.816
8,5,10,157.215
8.1,5,10,160.639
8.2,5,10,164.089
8.3,5,10,167.563
8.4,5,10,171.062
8.5,5,10,174.586
8.6,5,10,178.133
8.7,5,10,181.705
8.8,5,10,185.299
8.9,5,10,188.917
9,5,10,192.558
9.1,5,10,196.222
9.2,5,10,199.908
9.3,5,10,203.616
9.4,5,10,207.346
9.5,5,10,211.097
9.6,5,10,214.87
9.7,5,10,218.664
9.8,5,10,222.479
9.9,5,10,226.314
10,5,10,230.169
10.1,5,10,234.045
10.2,5,10,237.941
10.3,5,10,241.856
10.4,5,10,245.79
10.5,5,10,249.744
10.6,5,10,253.716
10.7,5,10,257.707
10.8,5,10,261.717
10.9,5,10,265.745
11,5,10,269.791
11.1,5,10,273.855
11.2,5,10,277.936
11.3,5,10,282.035
11.4,5,10,286.151
11.5,5,10,290.283
11.6,5,10,294.433
11.7,5,10,298.599
11.8,5,10,302.782
11.9,5,10,306.98
12,5,10,311.195
12.1,5,10,315.425
12.2,5,10,319.671
12.3,5,10,323.933
12.4,5,10,328.21
12.5,5,10,332.501
12.6,5,10,336.808
12.7,5,10,341.129
12.8,5,10,345.465
12.9,5,10,349.815
13,5,10,354.179
13.1,5,10,358.558
13.2,5,10,362.95
13.3,5,10,367.356
13.4,5,10,371.775
13.5,5,10,376.208
13.6,5,10,380.653
13.7,5,10,385.112
13.8,5,10,389.584
13.9,5,10,394.068
14,5,10,398.565
14.1,5,10,403.075
14.2,5,10,407.596
14.3,5,10,412.13
14.4,5,10,416.676
14.5,5,10,421.233
14.6,5,10,425.802
14.7,5,10,430.383
14.8,5,10,434.975
14.9,5,10,439.579
15,5,10,444.193
15.1,5,10,448.819
15.2,5,10,453.455
15.3,5,10,458.103
15.4,5,10,462.76
15.5,5,10,467.429
15.6,5,10,472.107
15.7,5,10,476.796
15.8,5,10,481.495
15.9,5,10,486.204
16,5,10,490.923
16.1,5,10,495.652
16.2,5,10,500.39
16.3,5,10,505.138
16.4,5,10,509.895
16.5,5,10,514.661
16.6,5,10,519.437
16.7,5,10,524.222
16.8,5,10,529.015
16.9,5,10,533.818
17,5,10,538.629
17.1,5,10,543.449
17.2,5,10,548.278
17.3,5,10,553.115
17.4,5,10,557.96
17.5,5,10,562.814
17.6,5,10,567.675
17.7,5,10,572.545
17.8,5,10,577.423
17.9,5,10,582.308
18,5,10,587.202
18.1,5,10,592.103
18.2,5,10,597.011
18.3,5,10,601.927
18.4,5,10,606.851
18.5,5,10,611.781
18.6,5,10,616.719
18.7,5,10,621.665
18.8,5,10,626.617
18.9,5,10,631.576
19,5,10,636.542
19.1,5,10,641.515
19.2,5,10,646.494
19.3,5,10,651.48
19.4,5,10,656.473
19.5,5,10,661.472
19.6,5,10,666.478
19.7,5,10,671.49
19.8,5,10,676.508
19.9,5,10,681.532
20,5,10,686.563
20.1,5,10,691.599
20.2,5,10,696.642
20.3,5,10,701.69
20.4,5,10,706.744
20.5,5,10,711.804
20.6,5,10,716.869
20.7,5,10,721.941
20.8,5,10,727.017
20.9,5,10,732.099
21,5,10,737.187
21.1,5,10,742.28
21.2,5,10,747.378
21.3,5,10,752.482
21.4,5,10,757.59
21.5,5,10,762.704
21.6,5,10,767.823
21.7,5,10,772.946
21.8,5,10,778.075
21.9,5,10,783.208
22,5,10,788.347
22.1,5,10,793.49
22.2,5,10,798.637
22.3,5,10,803.79
22.4,5,10,808.946
22.5,5,10,814.108
22.6,5,10,819.274
22.7,5,10,824.444
22.8,5,10,829.619
22.9,5,10,834.798
23,5,10,839.981
23.1,5,10,845.168
23.2,5,10,850.36
23.3,5,10,855.555
23.4,5,10,860.755
23.5,5,10,865.959
23.6,5,10,871.166
23.7,5,10,876.378
23.8,5,10,881.593
23.9,5,10,886.812
24,5,10,892.035
24.1,5,10,897.262
24.2,5,10,902.493
24.3,5,10,907.727
24.4,5,10,912.964
24.5,5,10,918.205
24.6,5,10,923.45
24.7,5,10,928.698
24.8,5,10,933.95
24.9,5,10,939.205
25,5,10,944.463
25.1,5,10,949.725
25.2,5,10,954.99
25.3,5,10,960.258
25.4,5,10,965.529
25.5,5,10,970.804
25.6,5,10,976.081
25.7,5,10,981.362
25.8,5,10,986.645
25.9,5,10,991.932
26,5,10,997.222
26.1,5,10,1002.514
26.2,5,10,1007.81
26.3,5,10,1013.108
26.4,5,10,1018.409
26.5,5,10,1023.713
26.6,5,10,1029.02
26.7,5,10,1034.329
26.8,5,10,1039.641
26.9,5,10,1044.956
27,5,10,1050.273
27.1,5,10,1055.593
27.2,5,10,1060.916
27.3,5,10,1066.241
27.4,5,10,1071.569
27.5,5,10,1076.899
27.6,5,10,1082.231
27.7,5,10,1087.566
27.8,5,10,1092.903
27.9,5,10,1098.243
28,5,10,1103.585
28.1,5,10,1108.929
28.2,5,10,1114.276
