Time(s),Input(v),Output(v),Output(m)
0,2.505,0,0
0.1,3.271,0.008,0.011
0.2,3.828,0.033,0.042
0.3,5,0.083,0.108
0.4,5,0.185,0.24
0.5,5,0.336,0.436
0.6,5,0.536,0.696
0.7,5,0.785,1.019
0.8,5,1.081,1.404
0.9,5,1.425,1.851
1,5,1.816,2.359
1.1,5,2.254,2.927
1.2,5,2.737,3.554
1.3,5,3.265,4.24
1.4,5,3.838,4.984
1.5,5,4.455,5.786
1.6,5,5.115,6.643
1.7,5,5.819,7.557
1.8,5,6.565,8.526
1.9,5,7.354,9.55
2,5,8.183,10.628
2.1,5,9.054,11.759
2.2,5,9.966,12.942
2.3,5,10,14.178
2.4,5,10,15.465
2.5,5,10,16.803
2.6,5,10,18.191
2.7,5,10,19.629
2.8,5,10,21.115
2.9,5,10,22.65
3,5,10,24.233
3.1,5,10,25.863
3.2,5,10,27.54
3.3,5,10,29.263
3.4,5,10,31.032
3.5,5,10,32.845
3.6,5,10,34.704
3.7,5,10,36.606
3.8,5,10,38.551
3.9,5,10,40.54
4,5,10,42.571
4.1,5,10,44.643
4.2,5,10,46.758
4.3,5,10,48.913
4.4,5,10,51.108
4.5,5,10,53.344
4.6,5,10,55.619
4.7,5,10,57.932
4.8,5,10,60.285
4.9,5,10,62.675
5,5,10,65.103
5.1,5,10,67.569
5.2,5,10,70.07
5.3,5,10,72.609
5.4,5,10,75.183
5.5,5,10,77.792
5.6,5,10,80.437
5.7,5,10,83.116
5.8,5,10,85.829
5.9,5,10,88.576
6,5,10,91.356
6.1,5,10,94.169
6.2,5,10,97.015
6.3,5,10,99.893
6.4,5,10,102.802
6.5,5,10,105.743
6.6,5,10,108.715
6.7,5,10,111.718
6.8,5,10,114.751
6.9,5,10,117.814
7,5,10,120.906
7.1,5,10,124.028
7.2,5,10,127.179
7.3,5,10,130.358
7.4,5,10,133.565
7.5,5,10,136.8
7.6,5,10,140.063
7.7,5,10,143.352
7.8,5,10,146.669
7.9,5,10,150.012
8,5,10,153.381
8.1,5,10,156.776
8.2,5,10,160.197
8.3,5,10,163.643
8.4,5,10,167.114
8.5,5,10,170.61
8.6,5,10,174.13
8.7,5,10,177.674
8.8,5,10,181.242
8.9,5,10,184.834
9,5,10,188.449
9.1,5,10,192.086
9.2,5,10,195.747
9.3,5,10,199.43
9.4,5,10,203.135
9.5,5,10,206.862
